,index,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-0.5 m,"8,255","8,255","7,347","6,914","6,465","6,191","5,810"
3,0.5-1m,"21,092","21,092","18,756","17,928","17,096","16,267","15,485"
4,1-1.5m,"43,304","43,304","39,471","37,053","32,173","23,824","20,543"
5,1.5-2m,"36,293","36,293","36,261","36,459","38,618","44,005","43,608"
6,2-3m,"57,690","57,690","57,573","61,725","64,837","67,499","69,963"
7,3-4m,"44,057","44,057","45,326","47,888","51,050","54,069","57,417"
8,4-5m,"32,239","32,239","33,983","37,581","40,943","44,648","48,184"
9,5-10m,"82,294","82,294","88,182","97,875","109,877","123,691","138,426"
10,>10m,"189,263","189,263","206,499","230,830","260,907","296,643","336,779"
11,ALL,"514,486","514,486","533,399","574,253","621,965","676,836","736,215"
