,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
0,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,nan,nan
1,"9,478.9701",0.0000,0.0000,"9,478.9701",0.0000,0.0000,"9,478.9701",0.0000,0.0000,"9,478.9701",0.0000,0.0000,"9,478.9701",0.0000,0.0000,"9,478.9701",0.0000,0.0000,"9,478.9701",0.0000,0.0000,nan,nan
2,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,"9,467.5634",0.0000,0.0000,nan,nan
3,"9,478.9701",1.0000,6.0000,"9,478.9701",1.0000,6.0000,"9,478.9701",1.0000,7.0000,"9,478.9701",1.0000,8.0000,"9,478.9701",2.0000,8.0000,"9,478.9701",2.0000,9.0000,"9,478.9701",2.0000,10.0000,0.1667,0.1667
4,"9,478.9701",47.0000,231.0000,"9,478.9701",47.0000,231.0000,"9,478.9701",49.0000,251.0000,"9,478.9701",53.0000,271.0000,"9,478.9701",57.0000,295.0000,"9,478.9701",62.0000,320.0000,"9,478.9701",67.0000,347.0000,0.2035,0.2035
5,"9,467.5634",97.0000,477.0000,"9,467.5634",97.0000,477.0000,"9,467.5634",101.0000,518.0000,"9,467.5634",109.0000,560.0000,"9,467.5634",118.0000,609.0000,"9,467.5634",128.0000,660.0000,"9,467.5634",139.0000,716.0000,0.2034,0.2034
6,"9,478.9701",145.0000,707.0000,"9,478.9701",145.0000,707.0000,"9,478.9701",149.0000,769.0000,"9,478.9701",161.0000,831.0000,"9,478.9701",175.0000,903.0000,"9,478.9701",190.0000,979.0000,"9,478.9701",206.0000,"1,061.0000",0.2051,0.2051
7,"9,478.9701",187.0000,911.0000,"9,478.9701",187.0000,911.0000,"9,478.9701",194.0000,990.0000,"9,478.9701",209.0000,"1,070.0000","9,478.9701",227.0000,"1,163.0000","9,478.9701",247.0000,"1,261.0000","9,478.9701",267.0000,"1,367.0000",0.2053,0.2053
8,"9,467.5634",232.0000,"1,138.0000","9,467.5634",232.0000,"1,138.0000","9,467.5634",240.0000,"1,238.0000","9,467.5634",259.0000,"1,337.0000","9,467.5634",281.0000,"1,453.0000","9,467.5634",305.0000,"1,576.0000","9,467.5634",331.0000,"1,708.0000",0.2039,0.2039
9,"9,478.9701",282.0000,"1,375.0000","9,478.9701",282.0000,"1,375.0000","9,478.9701",292.0000,"1,495.0000","9,478.9701",315.0000,"1,615.0000","9,478.9701",343.0000,"1,755.0000","9,478.9701",372.0000,"1,904.0000","9,478.9701",403.0000,"2,064.0000",0.2051,0.2051
10,"9,478.9701",332.0000,"1,620.0000","9,478.9701",332.0000,"1,620.0000","9,478.9701",344.0000,"1,762.0000","9,478.9701",372.0000,"1,903.0000","9,478.9701",405.0000,"2,068.0000","9,478.9701",439.0000,"2,243.0000","9,478.9701",476.0000,"2,432.0000",0.2049,0.2049
11,"9,467.5634",379.0000,"1,852.0000","9,467.5634",379.0000,"1,852.0000","9,467.5634",392.0000,"2,015.0000","9,467.5634",423.0000,"2,176.0000","9,467.5634",459.0000,"2,365.0000","9,467.5634",497.0000,"2,565.0000","9,467.5634",539.0000,"2,781.0000",0.2046,0.2046
12,"9,478.9701",430.0000,"2,099.0000","9,478.9701",430.0000,"2,099.0000","9,478.9701",445.0000,"2,283.0000","9,478.9701",479.0000,"2,466.0000","9,478.9701",520.0000,"2,680.0000","9,478.9701",564.0000,"2,907.0000","9,478.9701",612.0000,"3,152.0000",0.2049,0.2049
13,"9,478.9701",480.0000,"2,357.0000","9,478.9701",480.0000,"2,357.0000","9,478.9701",498.0000,"2,563.0000","9,478.9701",536.0000,"2,769.0000","9,478.9701",582.0000,"3,009.0000","9,478.9701",632.0000,"3,264.0000","9,478.9701",685.0000,"3,539.0000",0.2036,0.2036
14,"9,467.5634",534.0000,"2,611.0000","9,467.5634",534.0000,"2,611.0000","9,467.5634",551.0000,"2,840.0000","9,467.5634",595.0000,"3,068.0000","9,467.5634",644.0000,"3,334.0000","9,467.5634",698.0000,"3,616.0000","9,467.5634",757.0000,"3,921.0000",0.2045,0.2045
15,"9,478.9701",583.0000,"2,869.0000","9,478.9701",583.0000,"2,869.0000","9,478.9701",605.0000,"3,121.0000","9,478.9701",653.0000,"3,371.0000","9,478.9701",707.0000,"3,663.0000","9,478.9701",767.0000,"3,973.0000","9,478.9701",832.0000,"4,308.0000",0.2032,0.2032
16,"9,478.9701",647.0000,"3,146.0000","9,478.9701",647.0000,"3,146.0000","9,478.9701",671.0000,"3,422.0000","9,478.9701",725.0000,"3,696.0000","9,478.9701",788.0000,"4,017.0000","9,478.9701",854.0000,"4,357.0000","9,478.9701",926.0000,"4,724.0000",0.2057,0.2057
17,"9,467.5634",697.0000,"3,434.0000","9,467.5634",697.0000,"3,434.0000","9,467.5634",723.0000,"3,734.0000","9,467.5634",779.0000,"4,034.0000","9,467.5634",845.0000,"4,384.0000","9,467.5634",917.0000,"4,755.0000","9,467.5634",994.0000,"5,155.0000",0.2030,0.2030
18,"9,478.9701",764.0000,"3,751.0000","9,478.9701",764.0000,"3,751.0000","9,478.9701",792.0000,"4,080.0000","9,478.9701",854.0000,"4,407.0000","9,478.9701",927.0000,"4,790.0000","9,478.9701","1,006.0000","5,195.0000","9,478.9701","1,091.0000","5,632.0000",0.2037,0.2037
19,"9,478.9701",824.0000,"4,057.0000","9,478.9701",824.0000,"4,057.0000","9,478.9701",853.0000,"4,412.0000","9,478.9701",922.0000,"4,766.0000","9,478.9701",999.0000,"5,180.0000","9,478.9701","1,084.0000","5,618.0000","9,478.9701","1,175.0000","6,091.0000",0.2031,0.2031
20,"9,467.5634",882.0000,"4,353.0000","9,467.5634",882.0000,"4,353.0000","9,467.5634",914.0000,"4,735.0000","9,467.5634",988.0000,"5,114.0000","9,467.5634","1,074.0000","5,558.0000","9,467.5634","1,165.0000","6,029.0000","9,467.5634","1,263.0000","6,536.0000",0.2026,0.2026
21,"9,478.9701",942.0000,"4,647.0000","9,478.9701",942.0000,"4,647.0000","9,478.9701",976.0000,"5,054.0000","9,478.9701","1,053.0000","5,459.0000","9,478.9701","1,144.0000","5,933.0000","9,478.9701","1,241.0000","6,436.0000","9,478.9701","1,347.0000","6,977.0000",0.2027,0.2027
22,"9,467.5634","1,024.0000","4,954.0000","9,467.5634","1,024.0000","4,954.0000","9,467.5634","1,061.0000","5,388.0000","9,467.5634","1,144.0000","5,820.0000","9,467.5634","1,243.0000","6,325.0000","9,467.5634","1,348.0000","6,861.0000","9,467.5634","1,462.0000","7,438.0000",0.2067,0.2067
23,"9,478.9701","1,077.0000","5,235.0000","9,478.9701","1,077.0000","5,235.0000","9,478.9701","1,115.0000","5,693.0000","9,478.9701","1,206.0000","6,149.0000","9,478.9701","1,309.0000","6,683.0000","9,478.9701","1,419.0000","7,249.0000","9,478.9701","1,539.0000","7,859.0000",0.2057,0.2057
24,"9,478.9701","1,127.0000","5,456.0000","9,478.9701","1,127.0000","5,456.0000","9,478.9701","1,167.0000","5,933.0000","9,478.9701","1,259.0000","6,409.0000","9,478.9701","1,366.0000","6,965.0000","9,478.9701","1,482.0000","7,555.0000","9,478.9701","1,606.0000","8,191.0000",0.2066,0.2066
25,"9,467.5634","1,125.0000","5,675.0000","9,467.5634","1,125.0000","5,675.0000","9,467.5634","1,166.0000","6,172.0000","9,467.5634","1,259.0000","6,667.0000","9,467.5634","1,367.0000","7,246.0000","9,467.5634","1,482.0000","7,859.0000","9,467.5634","1,607.0000","8,521.0000",0.1982,0.1982
26,"9,478.9701","1,220.0000","5,932.0000","9,478.9701","1,220.0000","5,932.0000","9,478.9701","1,263.0000","6,452.0000","9,478.9701","1,362.0000","6,969.0000","9,478.9701","1,481.0000","7,574.0000","9,478.9701","1,606.0000","8,215.0000","9,478.9701","1,741.0000","8,907.0000",0.2057,0.2057
